uid,line_recall,line_precision,line_f1,line_correct_type,line_total_pred,line_total_gt,line_param_s_x,line_param_s_y,line_param_e_x,line_param_e_y,arc_recall,arc_precision,arc_f1,arc_correct_type,arc_total_pred,arc_total_gt,arc_param_s_x,arc_param_s_y,arc_param_m_x,arc_param_m_y,arc_param_e_x,arc_param_e_y,arc_param_x,arc_param_y,circle_recall,circle_precision,circle_f1,circle_total_pred,circle_total_gt,circle_correct_type,circle_param_c_x,circle_param_c_y,circle_param_r,macro_recall,macro_precision,macro_f1,micro_recall,micro_precision,micro_f1,total_type_acc,model_type,num_skt_gt,num_skt_pred,theta,phi,gamma,o_x,o_y,o_z,scale,dist,b,num_ext_pred,num_ext_gt,num_ext,cd
part_10_en_part_10_new_6,1.0,0.7647058823529411,0.8666666666666666,13,17,13,0,0,0,0,1.0,1.0,1.0,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,0.8823529411764706,0.9333333333333333,1.0,0.7894736842105263,0.8823529411764706,0.7894736842105263,moderate,2,2,0.0,0.0,0.0,0.004480208333333291,0.005093750000000119,0.0020812500000000345,0.005840625,0.0030552083333335034,2,2,2,2,1.7938444417617747
part_2_en_part_2_new_4506,1.0,1.0,1.0,4,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025416666666622234,1,1,1,1,0.9251769599894171
part_3_en_part_3_new_1261,0.8571428571428571,1.0,0.923076923076923,6,6,7,1,1,1,5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,simple,1,1,0.0,0.0,2.208932334555323,0.0,0.0026041666666667407,0.0,0.0,0.0013020833333334814,1,1,1,1,69.87963334625775
part_3_en_part_3_new_2234,1.0,1.0,1.0,8,8,8,0,3,0,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,2,2,0.0,0.0,0.0,0.0,0.004340624999999987,0.0,0.0034729166666666663,0.0037614583333334117,2,2,2,2,71.92081157269702
part_7_en_part_7_new_127,0.7272727272727273,1.0,0.8421052631578948,8,8,11,3,9,3,9,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.7272727272727273,1.0,0.8421052631578948,0.7272727272727273,1.0,0.8421052631578948,0.7272727272727273,moderate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022729166666666245,1,1,1,1,321.8419186071044
part_3_en_part_3_new_1278,1.0,1.0,1.0,4,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2,2,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,2,2,4.417864669110647,0.0,2.208932334555323,3.333333333332966e-05,0.001848958333333206,0.0005770833333331726,0.0,0.004153125000000202,2,2,2,2,106.91475773233691
part_4_en_part_4_new_3117,1.0,1.0,1.0,20,20,20,1,4,1,4,1.0,1.0,1.0,4,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,complex,3,3,0.0,0.0,0.0,0.0,0.0,0.004503125000000052,0.0,0.0004645833333332128,3,3,3,3,14.084257812023262
part_5_en_part_5_new_919,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2,2,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0025697916666666673,0.0031250000000002665,1,1,1,1,74.00006126644135
part_4_en_part_4_new_592,1.0,1.0,1.0,8,8,8,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,1,1,2.208932334555323,0.0,2.208932334555323,0.00041874999999991225,0.000243749999999876,0.000173958333333335,0.00034895833333333307,0.00044166666666622945,1,1,1,1,696.8270484823065
part_2_en_part_2_new_19119,0.75,0.6,0.6666666666666665,6,10,8,1,0,4,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.75,0.6,0.6666666666666665,0.75,0.6,0.6666666666666665,0.5,simple,1,1,2.208932334555323,0.0,2.208932334555323,0.0,0.0,0.0,0.0,0.005208333333333037,1,1,1,1,200.37933805746363
part_4_en_part_4_new_2239,1.0,1.0,1.0,3,3,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006250000000000089,1,1,1,1,229.95430132001974
part_4_en_part_4_new_3682,1.0,1.0,1.0,4,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2,2,2,3,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,1,1,0.0,0.0,2.208932334555323,0.0,0.0012187500000000462,0.0,0.0,0.00041770833333387714,1,1,1,1,101.0407268913918
part_9_en_part_9_new_42,1.0,1.0,1.0,12,12,12,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,moderate,3,3,0.0,0.0,2.208932334555323,9.375000000089173e-06,0.0014229166666668291,0.0,0.002493749999999999,0.000600000000000378,3,3,3,3,7.985741662194238
